AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2021;11;04;23;0;0.000149012018;0.000087473983;0.000106848633;;
2021;11;04;24;0;0.000121917227;0.000077822456;0.000092032952;;
2021;11;05;1;0;0.000097903859;0.000075384650;0.000062968329;;
2021;11;05;2;0;0.000080872994;0.000071941360;0.000042192106;;
2021;11;05;3;0;0.000071085294;0.000070384832;0.000044554037;;
2021;11;05;4;0;0.000066542025;0.000069813336;0.000031939144;;
2021;11;05;5;0;0.000065127736;0.000069973180;0.000046495661;;
2021;11;05;6;0;0.000067410689;0.000072297733;0.000031237216;;
2021;11;05;7;0;0.000077964102;0.000081609338;0.000025679813;;
2021;11;05;8;0;0.000101116857;0.000098886158;0.000038454622;;
2021;11;05;9;0;0.000110990228;0.000124693397;0.000096251891;;
2021;11;05;10;0;0.000114285578;0.000143877542;0.000168867486;;
2021;11;05;11;0;0.000117346969;0.000149667901;0.000248090545;;
2021;11;05;12;0;0.000116638449;0.000149990698;0.000241635920;;
2021;11;05;13;0;0.000117161387;0.000149645782;0.000217205708;;
2021;11;05;14;0;0.000124183302;0.000141586666;0.000202326531;;
2021;11;05;15;0;0.000126008126;0.000124042819;0.000182836704;;
2021;11;05;16;0;0.000119891725;0.000116031904;0.000172479019;;
2021;11;05;17;0;0.000115637205;0.000115037370;0.000176236316;;
2021;11;05;18;0;0.000118469630;0.000118565496;0.000178998743;;
2021;11;05;19;0;0.000135304176;0.000131729163;0.000146336443;;
2021;11;05;20;0;0.000145341263;0.000129302345;0.000187362442;;
2021;11;05;21;0;0.000152661231;0.000121328816;0.000142089495;;
2021;11;05;22;0;0.000155748857;0.000108510792;0.000147167152;;
2021;11;05;23;0;0.000145866250;0.000095455809;0.000117945149;;
2021;11;05;24;0;0.000125056580;0.000085913864;0.000103257021;;
2021;11;06;1;0;0.000104431596;0.000081400050;0.000104992085;;
2021;11;06;2;0;0.000086936128;0.000075574725;0.000050809840;;
2021;11;06;3;0;0.000075987663;0.000073273718;0.000040540528;;
2021;11;06;4;0;0.000070297484;0.000072325136;0.000033716745;;
2021;11;06;5;0;0.000067853673;0.000071839338;0.000053616278;;
2021;11;06;6;0;0.000068550082;0.000072768177;0.000035395635;;
2021;11;06;7;0;0.000072208090;0.000075933522;0.000053769835;;
2021;11;06;8;0;0.000079287619;0.000077405738;0.000031195484;;
2021;11;06;9;0;0.000093889956;0.000078745836;0.000047329213;;
2021;11;06;10;0;0.000116855120;0.000088641379;0.000065261753;;
2021;11;06;11;0;0.000129391911;0.000097734472;0.000074456166;;
2021;11;06;12;0;0.000130234870;0.000101633435;0.000125244069;;
2021;11;06;13;0;0.000128555706;0.000103417828;0.000141041435;;
2021;11;06;14;0;0.000135969637;0.000099887254;0.000174097153;;
2021;11;06;15;0;0.000136985831;0.000092752562;0.000174401342;;
2021;11;06;16;0;0.000124158166;0.000089203569;0.000157185401;;
2021;11;06;17;0;0.000115506565;0.000087440202;0.000138865312;;
2021;11;06;18;0;0.000115140391;0.000090851895;0.000124470434;;
2021;11;06;19;0;0.000131636551;0.000106231107;0.000133857889;;
2021;11;06;20;0;0.000139920432;0.000110925880;0.000131431687;;
2021;11;06;21;0;0.000146773635;0.000110679452;0.000156891449;;
2021;11;06;22;0;0.000150924905;0.000103809653;0.000156318169;;
2021;11;06;23;0;0.000142723707;0.000094633030;0.000113013614;;
2021;11;06;24;0;0.000125564060;0.000087122930;0.000080045643;;
2021;11;07;1;0;0.000103982935;0.000081741039;0.000070504817;;
2021;11;07;2;0;0.000087551383;0.000076038599;0.000038193795;;
2021;11;07;3;0;0.000076458301;0.000073656945;0.000041484506;;
2021;11;07;4;0;0.000070076894;0.000072287074;0.000043453550;;
2021;11;07;5;0;0.000067485144;0.000072151555;0.000027321754;;
2021;11;07;6;0;0.000067606831;0.000072760019;0.000045212356;;
2021;11;07;7;0;0.000070479567;0.000075063601;0.000056783048;;
2021;11;07;8;0;0.000074679981;0.000072760920;0.000034124952;;
2021;11;07;9;0;0.000084978297;0.000068628914;0.000031559812;;
2021;11;07;10;0;0.000108285287;0.000073295402;0.000066264195;;
2021;11;07;11;0;0.000125755857;0.000078617764;0.000094091030;;
2021;11;07;12;0;0.000131414088;0.000082626975;0.000091119518;;
2021;11;07;13;0;0.000130510537;0.000085266135;0.000133580854;;
2021;11;07;14;0;0.000136747902;0.000085663370;0.000150149788;;
2021;11;07;15;0;0.000136245278;0.000083127612;0.000142510772;;
2021;11;07;16;0;0.000121275404;0.000080061310;0.000154823701;;
2021;11;07;17;0;0.000112758954;0.000077540146;0.000128155731;;
2021;11;07;18;0;0.000113035912;0.000077356329;0.000131725903;;
2021;11;07;19;0;0.000133567329;0.000091858082;0.000124952190;;
2021;11;07;20;0;0.000147740415;0.000096167321;0.000110013870;;
2021;11;07;21;0;0.000158852972;0.000095849503;0.000150033132;;
2021;11;07;22;0;0.000159648300;0.000091960374;0.000133560344;;
2021;11;07;23;0;0.000144371496;0.000085273181;0.000094692254;;
2021;11;07;24;0;0.000120100240;0.000079030763;0.000063587527;;
2021;11;08;1;0;0.000095916009;0.000072530800;0.000039672300;;
2021;11;08;2;0;0.000078967204;0.000069321416;0.000029677461;;
2021;11;08;3;0;0.000070165982;0.000068364310;0.000025361614;;
2021;11;08;4;0;0.000065913597;0.000068066539;0.000025166214;;
2021;11;08;5;0;0.000064481500;0.000068391398;0.000040632239;;
2021;11;08;6;0;0.000066809426;0.000070955660;0.000026878286;;
2021;11;08;7;0;0.000077681960;0.000081030982;0.000018471455;;
2021;11;08;8;0;0.000101407900;0.000098998441;0.000025569419;;
2021;11;08;9;0;0.000110711994;0.000127896638;0.000105776259;;
2021;11;08;10;0;0.000112661877;0.000149317482;0.000200779183;;
2021;11;08;11;0;0.000116609792;0.000155164515;0.000253257904;;
2021;11;08;12;0;0.000116661167;0.000155117146;0.000259720044;;
2021;11;08;13;0;0.000117497867;0.000154121805;0.000222356870;;
2021;11;08;14;0;0.000125098456;0.000145732025;0.000216487131;;
2021;11;08;15;0;0.000126503389;0.000129054394;0.000212399250;;
2021;11;08;16;0;0.000119209209;0.000123754694;0.000225232034;;
2021;11;08;17;0;0.000114095134;0.000125128076;0.000209037138;;
2021;11;08;18;0;0.000117373387;0.000128706990;0.000212912561;;
2021;11;08;19;0;0.000137703039;0.000139170085;0.000185531819;;
2021;11;08;20;0;0.000153877923;0.000132154969;0.000178196584;;
2021;11;08;21;0;0.000168121296;0.000119281861;0.000205371071;;
2021;11;08;22;0;0.000170248349;0.000103401685;0.000208503666;;
2021;11;08;23;0;0.000153483198;0.000088994153;0.000118973479;;
2021;11;08;24;0;0.000124564361;0.000079666989;0.000088669499;;
2021;11;09;1;0;0.000098382957;0.000074596252;0.000057631816;;
2021;11;09;2;0;0.000080555784;0.000071229827;0.000050650598;;
2021;11;09;3;0;0.000071108823;0.000069951032;0.000045948758;;
2021;11;09;4;0;0.000066702098;0.000069408119;0.000037459215;;
2021;11;09;5;0;0.000065392691;0.000069602318;0.000027065387;;
2021;11;09;6;0;0.000067743679;0.000072054659;0.000030748263;;
2021;11;09;7;0;0.000078610539;0.000081848712;0.000027534379;;
2021;11;09;8;0;0.000102816369;0.000100152477;0.000041903705;;
2021;11;09;9;0;0.000111911158;0.000127927644;0.000103638205;;
2021;11;09;10;0;0.000112961211;0.000147798635;0.000189643020;;
2021;11;09;11;0;0.000115924872;0.000153830616;0.000231274969;;
2021;11;09;12;0;0.000115039948;0.000153113895;0.000229757701;;
2021;11;09;13;0;0.000115765388;0.000152492048;0.000211206698;;
2021;11;09;14;0;0.000123355581;0.000144281162;0.000205793919;;
